name,rating,reviews
TCS,3.3,(1.1L)
Accenture,3.7,(72.7k)
Wipro,3.6,(64.5k)
Cognizant,3.7,(60.9k)
Capgemini,3.7,(52.6k)
HDFC Bank,3.8,(51.7k)
Infosys,3.5,(48.3k)
ICICI Bank,4.0,(45.5k)
HCLTech,3.4,(45.5k)
Tech Mahindra,3.4,(43k)
Genpact,3.6,(41.7k)
TP,3.8,(37.8k)
Jio,4.4,(33.5k)
Axis Bank,3.6,(32.8k)
Concentrix Corporation,3.6,(31.9k)
Amazon,3.9,(31.3k)
Reliance Retail,3.9,(27.2k)
iEnergizer,4.6,(27.2k)
LTIMindtree,3.6,(26.2k)
IBM,3.9,(25.6k)
HDB Financial Services,3.9,(25.5k)
Larsen & Toubro Limited,3.9,(23.7k)
Deloitte,3.7,(22.9k)
Kotak Mahindra Bank,3.6,(22.2k)
Reliance Industries,4.0,(20.1k)
Vodafone Idea,3.9,(17.6k)
Bharti Airtel,3.8,(17k)
BYJU'S,3.2,(16.4k)
WNS,3.3,(15.1k)
IDFC FIRST Bank,3.9,(14.4k)
Ernst & Young,3.4,(14.3k)
Tata Motors,4.1,(14.1k)
IndusInd Bank,3.4,(14.1k)
AU Small Finance Bank,3.9,(14.1k)
Muthoot FinCorp,4.6,(13.1k)
Bajaj Finserv,4.0,(12.9k)
Flipkart,3.9,(12.9k)
PwC,3.3,(12.4k)
Mahindra & Mahindra,4.0,(12k)
Infosys BPM,3.5,(11.9k)
HDFC Life,3.9,(11.9k)
DXC Technology,3.6,(11.9k)
Bandhan Bank,3.7,(11k)
Digitide Solutions,3.5,(10.3k)
Mphasis,3.3,(10.2k)
Yes Bank,3.7,(10.1k)
Tata Steel,4.0,(9.8k)
Quess,3.8,(9.7k)
Maruti Suzuki,4.2,(9.5k)
Asian Paints,3.9,(9.5k)
Startek,3.1,(9.4k)
UltraTech Cement,4.1,(9.4k)
Paytm,3.2,(9.3k)
Bajaj Finance,3.9,(9.1k)
Shriram Finance,4.0,(9.1k)
Sutherland Global Services,3.4,(8.9k)
Equitas Small Finance Bank,4.4,(8.8k)
Cipla,4.1,(8.5k)
Wells Fargo,3.6,(8.5k)
EXL Service,3.6,(8.5k)
Ericsson,3.9,(8.4k)
Samsung,3.9,(8.3k)
Dr. Reddy's,4.0,(8.2k)
Optum Global Solutions,4.0,(7.9k)
JSW Steel,3.9,(7.8k)
JPMorgan Chase & Co.,3.8,(7.8k)
Delhivery,3.8,(7.7k)
ICICI Prudential Life Insurance,3.9,(7.7k)
Hexaware Technologies,3.4,(7.6k)
Jana Small Finance Bank,3.8,(7.6k)
Ujjivan Small Finance Bank,4.0,(7.6k)
HGS,3.7,(7.5k)
Sun Pharmaceutical Industries,4.1,(7.5k)
Amazon Development Centre India,3.8,(7.5k)
Zydus Lifesciences,4.0,(7.4k)
Ekart Logistics,3.9,(7.3k)
Lupin,4.1,(7.3k)
L&T Construction,4.0,(7.3k)
KPMG India,3.4,(7.2k)
Hindustan Unilever,4.2,(7.2k)
Axis Max Life Insurance,4.0,(7.1k)
ITC,3.9,(7.1k)
Megha Engineering & Infrastructures,3.9,(6.9k)
Tata Projects,4.2,(6.8k)
Coforge,3.3,(6.7k)
Bajaj Life Insurance,3.8,(6.6k)
Cholamandalam Investment & Finance,3.8,(6.5k)
FIS,3.8,(6.5k)
L&T Technology Services,3.1,(6.5k)
Omega Healthcare,3.8,(6.4k)
Oracle,3.5,(6.4k)
Muthoot Finance,3.7,(6.3k)
IIFL Finance,4.0,(6.3k)
JLL,4.1,(6.3k)
Indian Army,4.7,(6.2k)
eClerx,3.1,(6.2k)
HCL Group,3.5,(6.1k)
DMart,3.9,(6.1k)
Virtusa Consulting Services,3.7,(6.1k)
Piramal Finance,4.2,(6k)
Indiamart Intermesh,3.5,(6k)
HSBC Group,3.8,(6k)
PolicyBazaar,3.8,(5.9k)
SMFG India Credit,3.9,(5.9k)
Access Healthcare,3.7,(5.8k)
BigBasket,3.9,(5.8k)
Siemens,3.9,(5.8k)
Aurobindo Pharma,4.0,(5.8k)
Udaan,3.9,(5.7k)
GlobalLogic,3.5,(5.7k)
Manappuram Finance,3.9,(5.7k)
Firstsource Solutions,3.5,(5.7k)
ICICI Lombard General Insurance Company,3.5,(5.7k)
Tata Capital,4.0,(5.7k)
Shapoorji Pallonji Group,4.1,(5.7k)
Standard Chartered,3.6,(5.6k)
Apollo Hospitals,4.1,(5.6k)
UST,3.7,(5.6k)
Mahindra Finance,3.9,(5.6k)
Bosch Global Software Technologies,3.7,(5.6k)
Ashok Leyland,4.0,(5.6k)
Swiggy,3.7,(5.5k)
Citicorp,3.6,(5.5k)
Hero MotoCorp,4.1,(5.4k)
CGI Group,4.0,(5.4k)
Cyient,3.6,(5.3k)
SBI Cards & Payment Services,3.6,(5.3k)
BNY,3.6,(5.2k)
Kalpataru Projects International,4.2,(5.2k)
NTT DATA,3.8,(5.2k)
IQVIA,3.7,(5.2k)
Nagarjuna Construction Company,4.0,(5.2k)
JustDial,3.5,(5.1k)
Schneider Electric,4.1,(5.1k)
SBI Life Insurance Company,3.7,(5.1k)
TVS Motor,3.9,(5.1k)
CBRE,4.1,(5.1k)
Persistent Systems,3.6,(5k)
State Bank of India,3.8,(4.9k)
Atos,3.8,(4.9k)
vivo,4.1,(4.9k)
KEC International,4.0,(4.9k)
Amdocs,3.6,(4.8k)
Ecom Express,4.0,(4.8k)
ITC Infotech,3.8,(4.8k)
JBM Group,3.9,(4.8k)
Varun Beverages,4.0,(4.8k)
Eviden,3.6,(4.8k)
Nagarro,3.9,(4.7k)
Randstad,3.7,(4.7k)
Utkarsh Small Finance Bank,3.6,(4.7k)
Bosch,4.1,(4.6k)
EY Global Delivery Services ( EY GDS),3.5,(4.6k)
Hewlett Packard Enterprise,4.0,(4.6k)
Aditya Birla Fashion and Retail,4.0,(4.6k)
Cars24,3.5,(4.6k)
L&T Finance,3.9,(4.6k)
Home Credit Finance,4.0,(4.6k)
Mahindra Logistics,3.7,(4.5k)
Havells,3.9,(4.5k)
Dell,3.8,(4.5k)
R1 RCM,3.8,(4.5k)
Intas Pharmaceuticals,4.1,(4.5k)
OPPO,3.9,(4.5k)
Tata AIA Life Insurance,3.9,(4.5k)
Hetero,3.9,(4.5k)
Hyundai Motor India Limited,4.1,(4.4k)
Deutsche Bank,3.8,(4.4k)
Berger Paints,3.7,(4.4k)
Motilal Oswal Financial Services,3.7,(4.4k)
Lenskart,3.3,(4.3k)
TeamLease Services,3.9,(4.3k)
VE Commercial Vehicles,3.9,(4.3k)
Thermax Limited,4.2,(4.2k)
Macleods Pharmaceuticals,3.7,(4.2k)
Jubilant Foods Works,3.7,(4.2k)
Bajaj Auto,3.8,(4.2k)
Carelon Global Solutions,3.9,(4.2k)
Aakash Educational Services,3.2,(4.2k)
Kogta Financial India Limited,4.7,(4.1k)
LG Electronics,3.9,(4.1k)
Hindalco Industries,4.2,(4.1k)
Jindal Steel Limited,3.9,(4.1k)
State Street Corporation,3.5,(4.1k)
Royal Enfield,4.2,(4.1k)
DCB Bank,3.8,(4k)
HDFC Ergo General Insurance,4.0,(4k)
Tata Communications,3.9,(4k)
John Deere,4.0,(4k)
RBL Bank,3.5,(4k)
Cummins,4.3,(4k)
Publicis Sapient,3.2,(3.9k)
Bank of America,4.1,(3.9k)
Alembic Pharmaceuticals,3.9,(3.9k)
Pidilite Industries,4.2,(3.9k)
Oyo Rooms,3.0,(3.9k)
Cloudnine Hospital,4.5,(3.9k)
American Express,4.1,(3.8k)
Aditya Birla Sun Life Insurance,4.0,(3.8k)
Grasim Industries,4.0,(3.8k)
